emojis,categories,category_rating,category_count,baseline_rating,total_count,rating_shift
👍🏽,Drama,4.703703703703703,27,4.848484848484849,99,-0.14478114478114534
👍🏽,Thriller,4.409090909090909,22,4.848484848484849,99,-0.43939393939393945
👍🏾,Drama,4.913043478260869,23,4.75,72,0.16304347826086918
👎,Action,1.4444444444444444,27,1.523076923076923,195,-0.07863247863247858
👎,Comedy,1.7083333333333333,24,1.523076923076923,195,0.18525641025641026
👎,Drama,1.4864864864864864,37,1.523076923076923,195,-0.03659043659043659
👎,Thriller,1.2,20,1.523076923076923,195,-0.32307692307692304
👏,Drama,5.0,55,4.921686746987952,166,0.07831325301204828
👏,Horror,4.92,25,4.921686746987952,166,-0.0016867469879517927
👏,Thriller,5.0,25,4.921686746987952,166,0.07831325301204828
💕,Action,5.0,23,4.947368421052632,190,0.05263157894736814
💕,Comedy,4.933333333333334,30,4.947368421052632,190,-0.01403508771929829
💕,Drama,4.976744186046512,43,4.947368421052632,190,0.029375764993879727
💖,Comedy,4.904761904761905,21,4.955223880597015,134,-0.05046197583510992
💖,Drama,5.0,27,4.955223880597015,134,0.04477611940298498
💜,Drama,4.9,40,4.931972789115647,147,-0.03197278911564627
💯,Action,4.833333333333333,30,4.877906976744186,172,-0.044573643410853236
💯,Comedy,4.931034482758621,29,4.877906976744186,172,0.05312750601443472
💯,Drama,4.882352941176471,34,4.877906976744186,172,0.0044459644322847325
💯,Horror,4.809523809523809,21,4.877906976744186,172,-0.06838316722037696
💯,Thriller,4.95,20,4.877906976744186,172,0.0720930232558139
🔥,Drama,4.95,20,4.883333333333334,60,0.06666666666666643
😀,Action,4.85,40,4.843589743589743,390,0.0064102564102563875
😀,Comedy,4.782051282051282,78,4.843589743589743,390,-0.06153846153846132
😀,Drama,4.7846153846153845,65,4.843589743589743,390,-0.058974358974358765
😀,Family,5.0,20,4.843589743589743,390,0.15641025641025674
😀,Horror,4.833333333333333,24,4.843589743589743,390,-0.01025641025641022
😀,Sci-Fi,4.9,30,4.843589743589743,390,0.0564102564102571
😀,Thriller,4.68,25,4.843589743589743,390,-0.16358974358974354
😁,Action,4.76,75,4.8249534450651765,537,-0.06495344506517675
😁,Comedy,4.901234567901234,81,4.8249534450651765,537,0.07628112283605759
😁,Drama,4.696629213483146,89,4.8249534450651765,537,-0.1283242315820301
😁,Family,4.863636363636363,22,4.8249534450651765,537,0.038682918571186775
😁,Horror,4.7,40,4.8249534450651765,537,-0.12495344506517636
😁,Sci-Fi,4.675675675675675,37,4.8249534450651765,537,-0.1492777693895011
😁,Thriller,4.410256410256411,39,4.8249534450651765,537,-0.41469703480876596
😂,Action,4.321428571428571,56,4.607876712328767,584,-0.28644814090019555
😂,Adventure,4.090909090909091,22,4.607876712328767,584,-0.5169676214196759
😂,Animation,4.7,20,4.607876712328767,584,0.09212328767123346
😂,Comedy,4.851282051282051,195,4.607876712328767,584,0.2434053389532842
😂,Drama,4.197530864197531,81,4.607876712328767,584,-0.41034584813123587
😂,Family,4.75,32,4.607876712328767,584,0.14212328767123328
